--------- beginning of events
07-16 19:30:16.470  1130  1130 I auditd  : Multiple same specifications for miui.mqsas.MQSService.
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:86): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=60862 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:87): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=61587 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:88): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=59912 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:89): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=60612 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:90): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=61337 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:91): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=60362 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:92): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=61087 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:93): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=60112 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:94): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=60837 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:95): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=61537 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:96): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=59862 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:97): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=60587 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:98): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=61287 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:99): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=59812 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:100): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=60337 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:101): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=61037 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:102): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=60087 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:103): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=60787 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:104): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=61487 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:105): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=60537 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:106): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=61237 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:107): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=59762 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:108): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=60287 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:109): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=60987 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:110): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=60037 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:111): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=60737 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:112): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=61437 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:113): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=60487 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:114): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=61187 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
07-16 19:30:16.532  1143  1143 I auditd  : type=1400 audit(0.0:115): avc:  denied  { write } for  comm="binder:1143_2" name="uevent" dev="sysfs" ino=59712 scontext=u:r:vold:s0 tcontext=u:object_r:sysfs_memory:s0 tclass=file permissive=0
